Fecha,Encuesta,Estrato,Sexo,Edad,Nivel Educativo,Cantidad de Integrantes en el Hogar,Imagen del Candidato,Voto,Voto Anterior
2024-01-16,ENC-2024-01-001,sal,fem,30,Universitario incompleto,4,80,Candidato B,Candidato B
2024-01-16,ENC-2024-01-002,chac,masc,60,Universitario completo,3,38,Candidato A,Candidato C
2024-01-16,ENC-2024-01-003,mnes,hombre,,Universitario completo,3,36,Candidato C,Candidato A
2024-01-17,ENC-2024-01-004,tucu,varon,60,Secundario completo,3,57,Candidato B,Candidato C
2024-01-17,ENC-2024-01-005,sta fe,fe,51,Universitario incompleto,5,46,Candidato A,Candidato C
2024-01-15,ENC-2024-01-006,caba,hombre,43,Secundario completo,5,61,Candidato B,Candidato A
2024-01-17,ENC-2024-01-007,tucu,hombre,18,Universitario completo,5,44,Candidato A,Candidato A
2024-01-17,ENC-2024-01-008,neuquén,fem,18,Secundario incompleto,5,61,Candidato A,Candidato B
2024-01-17,ENC-2024-01-009,mza,hombre,18,Secundario incompleto,5,43,Candidato C,Candidato C
2024-01-17,ENC-2024-01-010,mza,varon,18,Universitario incompleto,3,66,Candidato A,Candidato B
2024-01-15,ENC-2024-01-011,sta fe,masc,17,Secundario incompleto,4,34,Candidato A,Candidato C
2024-01-15,ENC-2024-01-012,cord,fem,18,Universitario incompleto,6,63,Candidato B,Candidato C
2024-01-15,ENC-2024-01-013,sta fe,hombre,72,Universitario incompleto,5,47,Candidato B,Candidato B
2024-01-17,ENC-2024-01-014,tucu,fem,37,Secundario completo,4,67,Candidato C,Candidato B
2024-01-15,ENC-2024-01-015,sta fe,fem,25,Secundario incompleto,1,75,Candidato A,Candidato B
2024-01-15,ENC-2024-01-016,tucu,varon,17,Secundario completo,2,84,Candidato C,Candidato A
